Start date,End date,Balancing services [€] Original resolutions,Network security of the TSOs [€] Original resolutions,Countertrading [€] Original resolutions
2023-01-01,2023-02-01,"71,578,546.31","398,275,875.99","17,519,420.07"
2023-02-01,2023-03-01,"40,835,671.81","336,263,255.21","19,384,916.81"
2023-03-01,2023-04-01,"71,751,158.39","299,891,586.33","16,184,262.39"
2023-04-01,2023-05-01,"82,581,492.42","217,050,506.56","17,818,622.42"
2023-05-01,2023-06-01,"61,944,912.17","127,817,685.10","18,333,011.12"
2023-06-01,2023-07-01,"129,689,373.23","75,727,294.88","5,596,924.18"
2023-07-01,2023-08-01,"181,420,199.88","216,196,421.88","10,468,820.84"
2023-08-01,2023-09-01,"79,916,844.91","113,904,131.52","24,797,471.06"
2023-09-01,2023-10-01,"67,944,561.03","135,954,700.36","12,792,563.85"
2023-10-01,2023-11-01,"81,892,308.16","285,795,786.76","24,808,192.41"
2023-11-01,2023-12-01,"57,894,084.54","178,856,008.22","5,815,426.94"
2023-12-01,2024-01-01,-,"215,485,530.36","3,216,814.21"
2024-01-01,2024-02-01,"47,172,268.18","213,025,540.53","4,813,198.91"
2024-02-01,2024-03-01,"25,406,723.70","152,679,941.86","4,523,476.94"
2024-03-01,2024-04-01,"39,150,250.92","67,263,978.33","4,801,241.06"
2024-04-01,2024-05-01,"80,295,366.96","86,676,796.61","3,310,949.67"
2024-05-01,2024-06-01,"86,165,450.36","179,803,507.35","7,247,698.23"
2024-06-01,2024-07-01,"123,945,919.79","91,769,588.50","10,101,532.11"
2024-07-01,2024-08-01,"85,719,479.66","44,660,265.49","4,243,775.38"
2024-08-01,2024-09-01,"86,137,893.37","76,115,270.94","7,477,725.75"
2024-09-01,2024-10-01,"81,542,868.58","178,659,696.09","4,216,890.15"
2024-10-01,2024-11-01,"62,175,932.70","164,937,017.04","8,154,857.14"
2024-11-01,2024-12-01,"58,207,677.22","215,754,932.12","13,492,731.25"
2024-12-01,2025-01-01,"70,957,612.09","326,709,147.72","18,066,137.04"
2025-01-01,2025-02-01,-,-,-
2025-02-01,2025-03-01,-,-,-
2025-03-01,2025-04-01,-,-,-
