Start date;End date;Volume (+) [MWh] Original resolutions;Volume (-) [MWh] Original resolutions;Price [€/MWh] Original resolutions;Net income [€] Original resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 12:15 AM;-;-;185.56;31,476,878.85
Jan 1, 2023 12:15 AM;Jan 1, 2023 12:30 AM;-;-;-78.96;-
Jan 1, 2023 12:30 AM;Jan 1, 2023 12:45 AM;-;-;-76.74;-
Jan 1, 2023 12:45 AM;Jan 1, 2023 1:00 AM;-;-;-60.71;-
Jan 1, 2023 1:00 AM;Jan 1, 2023 1:15 AM;-;-;250.99;-
Jan 1, 2023 1:15 AM;Jan 1, 2023 1:30 AM;-;-;237.10;-
Jan 1, 2023 1:30 AM;Jan 1, 2023 1:45 AM;-;-;225.43;-
Jan 1, 2023 1:45 AM;Jan 1, 2023 2:00 AM;-;-;212.36;-
Jan 1, 2023 2:00 AM;Jan 1, 2023 2:15 AM;-;-;-56.95;-
Jan 1, 2023 2:15 AM;Jan 1, 2023 2:30 AM;-;-;-70.84;-
Jan 1, 2023 2:30 AM;Jan 1, 2023 2:45 AM;-;-;-60.93;-
Jan 1, 2023 2:45 AM;Jan 1, 2023 3:00 AM;-;-;-119.70;-
Jan 1, 2023 3:00 AM;Jan 1, 2023 3:15 AM;-;-;-56.46;-
Jan 1, 2023 3:15 AM;Jan 1, 2023 3:30 AM;-;-;-75.10;-
Jan 1, 2023 3:30 AM;Jan 1, 2023 3:45 AM;-;-;-84.18;-
Jan 1, 2023 3:45 AM;Jan 1, 2023 4:00 AM;-;-;-56.18;-
Jan 1, 2023 4:00 AM;Jan 1, 2023 4:15 AM;-;-;192.89;-
Jan 1, 2023 4:15 AM;Jan 1, 2023 4:30 AM;-;-;-38.43;-
Jan 1, 2023 4:30 AM;Jan 1, 2023 4:45 AM;-;-;-62.78;-
Jan 1, 2023 4:45 AM;Jan 1, 2023 5:00 AM;-;-;-57.56;-
Jan 1, 2023 5:00 AM;Jan 1, 2023 5:15 AM;-;-;-81.73;-
Jan 1, 2023 5:15 AM;Jan 1, 2023 5:30 AM;-;-;-19.61;-
Jan 1, 2023 5:30 AM;Jan 1, 2023 5:45 AM;-;-;-3.69;-
Jan 1, 2023 5:45 AM;Jan 1, 2023 6:00 AM;-;-;-25.45;-
Jan 1, 2023 6:00 AM;Jan 1, 2023 6:15 AM;-;-;-76.88;-
Jan 1, 2023 6:15 AM;Jan 1, 2023 6:30 AM;-;-;-58.98;-
Jan 1, 2023 6:30 AM;Jan 1, 2023 6:45 AM;-;-;-59.66;-
Jan 1, 2023 6:45 AM;Jan 1, 2023 7:00 AM;-;-;-56.72;-
Jan 1, 2023 7:00 AM;Jan 1, 2023 7:15 AM;-;-;-69.73;-
Jan 1, 2023 7:15 AM;Jan 1, 2023 7:30 AM;-;-;-66.41;-
Jan 1, 2023 7:30 AM;Jan 1, 2023 7:45 AM;-;-;-178.79;-
Jan 1, 2023 7:45 AM;Jan 1, 2023 8:00 AM;-;-;-834.18;-
Jan 1, 2023 8:00 AM;Jan 1, 2023 8:15 AM;-;-;-276.31;-
Jan 1, 2023 8:15 AM;Jan 1, 2023 8:30 AM;-;-;-185.32;-
Jan 1, 2023 8:30 AM;Jan 1, 2023 8:45 AM;-;-;-186.59;-
